player,runs,average,strike_rate,boundary_pct,dot_ball_pct
V Kohli,8014.0,37.057,125.58,0.153,0.324
S Dhawan,6769.0,33.553,120.749,0.163,0.351
RG Sharma,6630.0,29.119,127.721,0.171,0.361
DA Warner,6567.0,38.847,133.853,0.186,0.352
SK Raina,5536.0,33.723,131.745,0.169,0.311
MS Dhoni,5243.0,37.81,135.24,0.164,0.306
AB de Villiers,5181.0,40.227,143.01,0.179,0.291
CH Gayle,4997.0,38.483,137.197,0.211,0.407
RV Uthappa,4954.0,26.862,126.432,0.168,0.354
KD Karthik,4843.0,27.348,132.036,0.172,0.314
KL Rahul,4689.0,40.544,126.952,0.163,0.341
AM Rahane,4642.0,26.184,112.29,0.141,0.373
F du Plessis,4571.0,33.916,130.135,0.167,0.321
SV Samson,4419.0,31.104,134.323,0.168,0.325
AT Rayudu,4348.0,28.282,125.236,0.152,0.324
G Gambhir,4217.0,30.661,116.932,0.15,0.338
SR Watson,3880.0,31.487,131.94,0.191,0.395
MK Pandey,3859.0,31.086,112.583,0.128,0.353
SA Yadav,3594.0,28.892,128.346,0.178,0.374
JC Buttler,3583.0,37.048,141.86,0.206,0.345
KA Pollard,3437.0,27.147,139.162,0.18,0.328
RR Pant,3297.0,33.98,142.786,0.195,0.309
YK Pathan,3222.0,29.088,133.401,0.169,0.324
Shubman Gill,3216.0,37.429,131.73,0.164,0.301
Q de Kock,3160.0,29.516,123.485,0.177,0.399
