player,wickets,economy,wicket_frequency
YS Chahal,205.0,7.843,0.052
PP Chawla,192.0,8.159,0.049
DJ Bravo,183.0,7.47,0.05
R Ashwin,181.0,6.756,0.042
B Kumar,181.0,7.378,0.044
SP Narine,180.0,6.882,0.042
A Mishra,174.0,7.545,0.055
SL Malinga,170.0,7.125,0.057
JJ Bumrah,168.0,7.736,0.051
RA Jadeja,160.0,7.772,0.038
Harbhajan Singh,150.0,7.256,0.042
Rashid Khan,149.0,6.973,0.051
UT Yadav,144.0,8.769,0.04
Sandeep Sharma,137.0,7.792,0.047
HV Patel,135.0,8.888,0.058
MM Sharma,132.0,8.927,0.056
Mohammed Shami,127.0,8.605,0.044
AR Patel,123.0,7.382,0.038
TA Boult,121.0,8.263,0.048
K Rabada,120.0,8.535,0.06
AD Russell,115.0,9.428,0.058
A Nehra,106.0,7.958,0.058
R Vinay Kumar,105.0,8.953,0.054
Z Khan,103.0,7.419,0.053
JD Unadkat,100.0,9.504,0.035
