team,opponent,matchup_key
Chennai Super Kings,Royal Challengers Bengaluru,Chennai Super Kings vs Royal Challengers Bengaluru
Chennai Super Kings,Delhi Capitals,Chennai Super Kings vs Delhi Capitals
Chennai Super Kings,Kolkata Knight Riders,Chennai Super Kings vs Kolkata Knight Riders
Chennai Super Kings,Mumbai Indians,Chennai Super Kings vs Mumbai Indians
Chennai Super Kings,Punjab Kings,Chennai Super Kings vs Punjab Kings
Chennai Super Kings,Rajasthan Royals,Chennai Super Kings vs Rajasthan Royals
Chennai Super Kings,Sunrisers Hyderabad,Chennai Super Kings vs Sunrisers Hyderabad
Chennai Super Kings,Deccan Chargers,Chennai Super Kings vs Deccan Chargers
Chennai Super Kings,Pune Warriors,Chennai Super Kings vs Pune Warriors
Chennai Super Kings,Gujarat Titans,Chennai Super Kings vs Gujarat Titans
Chennai Super Kings,Kochi Tuskers Kerala,Chennai Super Kings vs Kochi Tuskers Kerala
Chennai Super Kings,Lucknow Super Giants,Chennai Super Kings vs Lucknow Super Giants
Deccan Chargers,Royal Challengers Bengaluru,Deccan Chargers vs Royal Challengers Bengaluru
Deccan Chargers,Chennai Super Kings,Deccan Chargers vs Chennai Super Kings
Deccan Chargers,Delhi Capitals,Deccan Chargers vs Delhi Capitals
Deccan Chargers,Mumbai Indians,Deccan Chargers vs Mumbai Indians
Deccan Chargers,Pune Warriors,Deccan Chargers vs Pune Warriors
Deccan Chargers,Punjab Kings,Deccan Chargers vs Punjab Kings
Deccan Chargers,Kolkata Knight Riders,Deccan Chargers vs Kolkata Knight Riders
Deccan Chargers,Rajasthan Royals,Deccan Chargers vs Rajasthan Royals
Deccan Chargers,Kochi Tuskers Kerala,Deccan Chargers vs Kochi Tuskers Kerala
Delhi Capitals,Mumbai Indians,Delhi Capitals vs Mumbai Indians
Delhi Capitals,Punjab Kings,Delhi Capitals vs Punjab Kings
Delhi Capitals,Kolkata Knight Riders,Delhi Capitals vs Kolkata Knight Riders
Delhi Capitals,Rajasthan Royals,Delhi Capitals vs Rajasthan Royals
Delhi Capitals,Chennai Super Kings,Delhi Capitals vs Chennai Super Kings
Delhi Capitals,Royal Challengers Bengaluru,Delhi Capitals vs Royal Challengers Bengaluru
Delhi Capitals,Sunrisers Hyderabad,Delhi Capitals vs Sunrisers Hyderabad
Delhi Capitals,Deccan Chargers,Delhi Capitals vs Deccan Chargers
Delhi Capitals,Gujarat Lions,Delhi Capitals vs Gujarat Lions
Delhi Capitals,Gujarat Titans,Delhi Capitals vs Gujarat Titans
Delhi Capitals,Pune Warriors,Delhi Capitals vs Pune Warriors
Delhi Capitals,Lucknow Super Giants,Delhi Capitals vs Lucknow Super Giants
Delhi Capitals,Rising Pune Supergiants,Delhi Capitals vs Rising Pune Supergiants
Delhi Capitals,Kochi Tuskers Kerala,Delhi Capitals vs Kochi Tuskers Kerala
Gujarat Lions,Kolkata Knight Riders,Gujarat Lions vs Kolkata Knight Riders
Gujarat Lions,Rising Pune Supergiants,Gujarat Lions vs Rising Pune Supergiants
Gujarat Lions,Mumbai Indians,Gujarat Lions vs Mumbai Indians
Gujarat Lions,Punjab Kings,Gujarat Lions vs Punjab Kings
Gujarat Lions,Royal Challengers Bengaluru,Gujarat Lions vs Royal Challengers Bengaluru
Gujarat Lions,Delhi Capitals,Gujarat Lions vs Delhi Capitals
Gujarat Lions,Sunrisers Hyderabad,Gujarat Lions vs Sunrisers Hyderabad
Gujarat Titans,Rajasthan Royals,Gujarat Titans vs Rajasthan Royals
Gujarat Titans,Chennai Super Kings,Gujarat Titans vs Chennai Super Kings
Gujarat Titans,Lucknow Super Giants,Gujarat Titans vs Lucknow Super Giants
Gujarat Titans,Mumbai Indians,Gujarat Titans vs Mumbai Indians
Gujarat Titans,Punjab Kings,Gujarat Titans vs Punjab Kings
Gujarat Titans,Sunrisers Hyderabad,Gujarat Titans vs Sunrisers Hyderabad
Gujarat Titans,Delhi Capitals,Gujarat Titans vs Delhi Capitals
Gujarat Titans,Kolkata Knight Riders,Gujarat Titans vs Kolkata Knight Riders
