model,feature,importance
catboost,numeric__squad_strength_diff,10.479304894227276
catboost,numeric__season_win_pct_diff,8.959477899162582
catboost,numeric__win_pct_diff,6.999598498834757
catboost,numeric__toss_rate_diff,6.971970961926345
catboost,numeric__avg_runs_diff,6.945262720721414
catboost,numeric__season,6.4748602055664914
catboost,numeric__avg_conceded_diff,6.016169656759419
catboost,numeric__chase_diff,5.252395733416162
catboost,numeric__venue_win_pct_diff,5.236957494490032
catboost,numeric__defend_diff,4.813181623153928
catboost,numeric__h2h_team1_win_rate,4.7843285614261255
catboost,numeric__recent10_form_diff,4.064524694101767
catboost,numeric__recent5_form_diff,3.027426512404486
catboost,categorical__toss_decision_bat,1.6023452415740844
catboost,categorical__team1_Punjab Kings,1.5841035741494462
catboost,numeric__toss_winner_is_team1,1.5226986733984664
catboost,categorical__venue_Eden Gardens,1.3442099146227446
catboost,categorical__team1_Mumbai Indians,1.266461728389093
catboost,categorical__venue_Sheikh Zayed Stadium,1.018469277209089
catboost,categorical__team1_Pune Warriors,0.8939964666235259
catboost,categorical__venue_Maharashtra Cricket Association Stadium,0.7482700526751436
catboost,categorical__toss_decision_field,0.7220830526711718
catboost,"categorical__venue_MA Chidambaram Stadium, Chepauk",0.6884262128005639
catboost,"categorical__venue_Maharashtra Cricket Association Stadium, Pune",0.6695823108162448
catboost,categorical__team2_Mumbai Indians,0.6124494912628674
catboost,categorical__team2_Punjab Kings,0.5763941938107915
catboost,categorical__team2_Chennai Super Kings,0.553371891037904
catboost,categorical__team1_Chennai Super Kings,0.49237261101866797
catboost,"categorical__venue_Rajiv Gandhi International Stadium, Uppal",0.44706749342285435
catboost,categorical__team1_Deccan Chargers,0.4389585809256715
catboost,categorical__team2_Deccan Chargers,0.38759764314774536
catboost,categorical__team2_Delhi Capitals,0.35432171236202104
catboost,categorical__team1_Gujarat Lions,0.22625958600032453
catboost,categorical__team1_Delhi Capitals,0.22573126832395382
catboost,categorical__team2_Royal Challengers Bengaluru,0.2212371363683658
catboost,categorical__venue_New Wanderers Stadium,0.21234393680184455
catboost,categorical__team2_Gujarat Titans,0.2045540514111938
catboost,categorical__team1_Kolkata Knight Riders,0.19449878472700635
catboost,categorical__team2_Sunrisers Hyderabad,0.19331833258522732
catboost,categorical__venue_SuperSport Park,0.18360399649253525
catboost,"categorical__venue_MA Chidambaram Stadium, Chepauk, Chennai",0.1788875946547757
catboost,"categorical__venue_Narendra Modi Stadium, Ahmedabad",0.16233063751674454
catboost,"categorical__venue_Punjab Cricket Association Stadium, Mohali",0.16058401047720272
catboost,"categorical__venue_Brabourne Stadium, Mumbai",0.1585475142547315
catboost,categorical__team1_Rajasthan Royals,0.15665292196757713
catboost,categorical__venue_Sharjah Cricket Stadium,0.14589870566600155
catboost,categorical__venue_Rajiv Gandhi International Stadium,0.14080848022447776
catboost,"categorical__venue_Wankhede Stadium, Mumbai",0.13464498285169074
catboost,categorical__venue_Subrata Roy Sahara Stadium,0.12468310207562924
catboost,categorical__team2_Rising Pune Supergiants,0.12109257950508645
catboost,categorical__venue_Feroz Shah Kotla,0.11945797643509672
catboost,categorical__team1_Royal Challengers Bengaluru,0.1166162308736772
catboost,categorical__team2_Lucknow Super Giants,0.10219771042969711
catboost,"categorical__venue_Arun Jaitley Stadium, Delhi",0.08689976396520208
catboost,categorical__venue_St George's Park,0.08069634631260132
catboost,"categorical__venue_Dr DY Patil Sports Academy, Mumbai",0.07093977511317055
catboost,categorical__team2_Pune Warriors,0.05756182999247608
catboost,categorical__venue_Punjab Cricket Association IS Bindra Stadium,0.05452103941421087
catboost,categorical__team2_Kolkata Knight Riders,0.044201935273004846
catboost,categorical__venue_M.Chinnaswamy Stadium,0.04349055270232239
catboost,"categorical__venue_Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",0.03201598197575693
catboost,categorical__venue_Green Park,0.03159371691107507
catboost,categorical__team2_Kochi Tuskers Kerala,0.022843472314273177
catboost,categorical__team1_Lucknow Super Giants,0.016314335162430457
catboost,categorical__venue_JSCA International Stadium Complex,0.01544868696609996
catboost,categorical__venue_Himachal Pradesh Cricket Association Stadium,0.009581435253948672
catboost,"categorical__venue_Sawai Mansingh Stadium, Jaipur",0.001302010891740209
catboost,categorical__venue_Arun Jaitley Stadium,0.0
catboost,categorical__venue_Barabati Stadium,0.0
catboost,"categorical__venue_Barsapara Cricket Stadium, Guwahati",0.0
catboost,categorical__venue_Brabourne Stadium,0.0
catboost,categorical__venue_Buffalo Park,0.0
catboost,categorical__venue_De Beers Diamond Oval,0.0
catboost,categorical__venue_Dr DY Patil Sports Academy,0.0
catboost,categorical__venue_Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,0.0
catboost,"categorical__venue_Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium, Visakhapatnam",0.0
catboost,categorical__venue_Dubai International Cricket Stadium,0.0
catboost,"categorical__venue_Eden Gardens, Kolkata",0.0
