team,opponent,matches,wins,losses,avg_runs,avg_opponent_runs,avg_run_margin,win_rate,matchup_key
Chennai Super Kings,Royal Challengers Bengaluru,32,21,11,160.06,153.84,6.22,65.62,Chennai Super Kings vs Royal Challengers Bengaluru
Chennai Super Kings,Delhi Capitals,30,19,11,166.13,148.9,17.23,63.33,Chennai Super Kings vs Delhi Capitals
Chennai Super Kings,Kolkata Knight Riders,29,19,10,158.9,153.17,5.72,65.52,Chennai Super Kings vs Kolkata Knight Riders
Chennai Super Kings,Mumbai Indians,37,17,20,155.57,157.76,-2.19,45.95,Chennai Super Kings vs Mumbai Indians
Chennai Super Kings,Punjab Kings,30,16,14,165.33,161.73,3.6,53.33,Chennai Super Kings vs Punjab Kings
Chennai Super Kings,Rajasthan Royals,29,16,13,164.86,158.41,6.45,55.17,Chennai Super Kings vs Rajasthan Royals
Chennai Super Kings,Sunrisers Hyderabad,21,15,6,171.0,160.71,10.29,71.43,Chennai Super Kings vs Sunrisers Hyderabad
Chennai Super Kings,Deccan Chargers,10,6,4,159.2,141.2,18.0,60.0,Chennai Super Kings vs Deccan Chargers
Chennai Super Kings,Pune Warriors,6,4,2,150.83,141.83,9.0,66.67,Chennai Super Kings vs Pune Warriors
Chennai Super Kings,Gujarat Titans,7,3,4,175.0,176.29,-1.29,42.86,Chennai Super Kings vs Gujarat Titans
Chennai Super Kings,Kochi Tuskers Kerala,2,1,1,141.5,138.0,3.5,50.0,Chennai Super Kings vs Kochi Tuskers Kerala
Chennai Super Kings,Lucknow Super Giants,5,1,3,203.25,186.8,1.0,20.0,Chennai Super Kings vs Lucknow Super Giants
Deccan Chargers,Royal Challengers Bengaluru,11,6,5,155.45,150.18,5.27,54.55,Deccan Chargers vs Royal Challengers Bengaluru
Deccan Chargers,Chennai Super Kings,10,4,6,141.2,159.2,-18.0,40.0,Deccan Chargers vs Chennai Super Kings
Deccan Chargers,Delhi Capitals,11,4,7,162.73,163.09,-0.36,36.36,Deccan Chargers vs Delhi Capitals
Deccan Chargers,Mumbai Indians,10,4,6,137.5,150.4,-12.9,40.0,Deccan Chargers vs Mumbai Indians
Deccan Chargers,Pune Warriors,4,3,1,159.25,151.25,8.0,75.0,Deccan Chargers vs Pune Warriors
Deccan Chargers,Punjab Kings,10,3,7,168.6,163.2,5.4,30.0,Deccan Chargers vs Punjab Kings
Deccan Chargers,Kolkata Knight Riders,9,2,7,144.11,153.11,-9.0,22.22,Deccan Chargers vs Kolkata Knight Riders
Deccan Chargers,Rajasthan Royals,9,2,7,158.56,154.11,4.44,22.22,Deccan Chargers vs Rajasthan Royals
Deccan Chargers,Kochi Tuskers Kerala,1,1,0,129.0,74.0,55.0,100.0,Deccan Chargers vs Kochi Tuskers Kerala
