match_id,season,venue,team1,team2,toss_winner,toss_decision,toss_winner_is_team1,first_innings_score,team1_won
1,2008,Narendra Modi Stadium,Mumbai Indians,Chennai Super Kings,Mumbai Indians,bat,1,191,1
2,2008,M. A. Chidambaram Stadium,Rajasthan Royals,Sunrisers Hyderabad,Rajasthan Royals,bat,1,177,0
3,2008,Sawai Mansingh Stadium,Mumbai Indians,Royal Challengers Bengaluru,Mumbai Indians,field,1,185,0
4,2008,M. A. Chidambaram Stadium,Chennai Super Kings,Mumbai Indians,Chennai Super Kings,field,1,194,1
5,2008,Rajiv Gandhi International Stadium,Rajasthan Royals,Kolkata Knight Riders,Rajasthan Royals,bat,1,218,1
6,2008,Wankhede Stadium,Rajasthan Royals,Punjab Kings,Punjab Kings,bat,0,182,1
7,2008,Wankhede Stadium,Royal Challengers Bengaluru,Kolkata Knight Riders,Royal Challengers Bengaluru,field,1,188,0
8,2008,Narendra Modi Stadium,Sunrisers Hyderabad,Kolkata Knight Riders,Sunrisers Hyderabad,bat,1,201,1
9,2008,Rajiv Gandhi International Stadium,Punjab Kings,Mumbai Indians,Mumbai Indians,field,0,210,1
10,2008,Rajiv Gandhi International Stadium,Royal Challengers Bengaluru,Delhi Capitals,Royal Challengers Bengaluru,bat,1,185,1
11,2008,Arun Jaitley Stadium,Mumbai Indians,Rajasthan Royals,Mumbai Indians,field,1,178,1
12,2008,Rajiv Gandhi International Stadium,Punjab Kings,Sunrisers Hyderabad,Sunrisers Hyderabad,bat,0,152,1
13,2008,Rajiv Gandhi International Stadium,Rajasthan Royals,Delhi Capitals,Rajasthan Royals,bat,1,182,0
14,2008,Eden Gardens,Mumbai Indians,Chennai Super Kings,Chennai Super Kings,field,0,202,1
15,2009,Rajiv Gandhi International Stadium,Sunrisers Hyderabad,Rajasthan Royals,Rajasthan Royals,bat,0,214,0
16,2009,Sawai Mansingh Stadium,Delhi Capitals,Mumbai Indians,Delhi Capitals,field,1,206,0
17,2009,Arun Jaitley Stadium,Delhi Capitals,Rajasthan Royals,Rajasthan Royals,bat,0,201,0
18,2009,Arun Jaitley Stadium,Delhi Capitals,Mumbai Indians,Delhi Capitals,field,1,182,1
19,2009,Sawai Mansingh Stadium,Punjab Kings,Rajasthan Royals,Rajasthan Royals,bat,0,215,0
20,2009,M. Chinnaswamy Stadium,Punjab Kings,Delhi Capitals,Punjab Kings,field,1,185,0
21,2009,M. A. Chidambaram Stadium,Sunrisers Hyderabad,Punjab Kings,Punjab Kings,field,0,176,1
22,2009,M. A. Chidambaram Stadium,Chennai Super Kings,Sunrisers Hyderabad,Sunrisers Hyderabad,field,0,219,1
23,2009,Sawai Mansingh Stadium,Sunrisers Hyderabad,Chennai Super Kings,Sunrisers Hyderabad,bat,1,180,1
24,2009,Sawai Mansingh Stadium,Mumbai Indians,Rajasthan Royals,Rajasthan Royals,bat,0,174,1
25,2009,Sawai Mansingh Stadium,Mumbai Indians,Sunrisers Hyderabad,Sunrisers Hyderabad,bat,0,162,1
26,2009,Eden Gardens,Rajasthan Royals,Chennai Super Kings,Chennai Super Kings,field,0,170,0
27,2009,M. A. Chidambaram Stadium,Delhi Capitals,Mumbai Indians,Mumbai Indians,bat,0,220,0
28,2009,Sawai Mansingh Stadium,Delhi Capitals,Chennai Super Kings,Delhi Capitals,field,1,190,1
29,2010,Narendra Modi Stadium,Punjab Kings,Mumbai Indians,Mumbai Indians,bat,0,215,0
30,2010,Narendra Modi Stadium,Rajasthan Royals,Mumbai Indians,Rajasthan Royals,bat,1,196,1
31,2010,Rajiv Gandhi International Stadium,Royal Challengers Bengaluru,Kolkata Knight Riders,Kolkata Knight Riders,field,0,175,1
32,2010,M. Chinnaswamy Stadium,Rajasthan Royals,Punjab Kings,Punjab Kings,field,0,197,0
33,2010,Narendra Modi Stadium,Rajasthan Royals,Delhi Capitals,Rajasthan Royals,field,1,156,1
34,2010,Eden Gardens,Royal Challengers Bengaluru,Kolkata Knight Riders,Royal Challengers Bengaluru,field,1,162,1
35,2010,Arun Jaitley Stadium,Rajasthan Royals,Royal Challengers Bengaluru,Rajasthan Royals,bat,1,162,0
36,2010,Sawai Mansingh Stadium,Delhi Capitals,Royal Challengers Bengaluru,Royal Challengers Bengaluru,field,0,181,1
37,2010,Wankhede Stadium,Rajasthan Royals,Royal Challengers Bengaluru,Rajasthan Royals,field,1,167,0
38,2010,M. Chinnaswamy Stadium,Delhi Capitals,Kolkata Knight Riders,Kolkata Knight Riders,field,0,155,0
39,2010,Rajiv Gandhi International Stadium,Punjab Kings,Sunrisers Hyderabad,Punjab Kings,bat,1,196,0
40,2010,Wankhede Stadium,Rajasthan Royals,Punjab Kings,Rajasthan Royals,field,1,202,0
41,2010,Narendra Modi Stadium,Sunrisers Hyderabad,Delhi Capitals,Sunrisers Hyderabad,bat,1,166,0
42,2010,Narendra Modi Stadium,Delhi Capitals,Royal Challengers Bengaluru,Royal Challengers Bengaluru,bat,0,231,0
43,2011,M. Chinnaswamy Stadium,Kolkata Knight Riders,Punjab Kings,Punjab Kings,field,0,212,1
44,2011,Eden Gardens,Mumbai Indians,Delhi Capitals,Delhi Capitals,field,0,204,1
45,2011,Wankhede Stadium,Royal Challengers Bengaluru,Chennai Super Kings,Royal Challengers Bengaluru,field,1,189,1
46,2011,M. Chinnaswamy Stadium,Kolkata Knight Riders,Mumbai Indians,Kolkata Knight Riders,field,1,181,1
47,2011,Arun Jaitley Stadium,Rajasthan Royals,Sunrisers Hyderabad,Sunrisers Hyderabad,bat,0,147,1
48,2011,Arun Jaitley Stadium,Kolkata Knight Riders,Rajasthan Royals,Rajasthan Royals,field,0,206,1
49,2011,Eden Gardens,Chennai Super Kings,Royal Challengers Bengaluru,Chennai Super Kings,bat,1,183,0
50,2011,Wankhede Stadium,Sunrisers Hyderabad,Chennai Super Kings,Sunrisers Hyderabad,bat,1,193,1
51,2011,Eden Gardens,Chennai Super Kings,Kolkata Knight Riders,Chennai Super Kings,field,1,195,0
52,2011,M. A. Chidambaram Stadium,Sunrisers Hyderabad,Punjab Kings,Punjab Kings,bat,0,202,0
53,2011,M. A. Chidambaram Stadium,Kolkata Knight Riders,Mumbai Indians,Kolkata Knight Riders,bat,1,199,1
54,2011,Eden Gardens,Sunrisers Hyderabad,Mumbai Indians,Mumbai Indians,field,0,161,0
