model,purpose,accuracy,precision,recall,f1,roc_auc,cv_roc_auc_mean,cv_roc_auc_std,chrono_accuracy,chrono_roc_auc,tn,fp,fn,tp,mae,rmse,r2,cv_mae_mean,cv_mae_std,chrono_mae,chrono_r2
random_forest,match_winner,0.5297,0.5345,0.5586,0.5463,0.5003,0.5489,0.0065,0.5114,0.5252,54.0,54.0,49.0,62.0,,,,,,,
logistic_regression,match_winner,0.4932,0.5,0.5405,0.5195,0.4983,0.5283,0.0121,0.4932,0.4957,48.0,60.0,51.0,60.0,,,,,,,
catboost,match_winner,0.4932,0.5,0.5225,0.511,0.4875,0.5334,0.0022,0.5342,0.5498,50.0,58.0,53.0,58.0,,,,,,,
lightgbm,match_winner,0.4566,0.463,0.4505,0.4566,0.4731,0.5309,0.0112,0.5068,0.552,50.0,58.0,61.0,50.0,,,,,,,
xgboost,match_winner,0.4566,0.4655,0.4865,0.4758,0.4552,0.53,0.0043,0.5708,0.5871,46.0,62.0,57.0,54.0,,,,,,,
live_xgboost,live_chase_win_probability,0.8279,0.82,0.8558,0.8375,0.9191,0.921,0.0003,0.7837,0.8558,9636.0,2443.0,1874.0,11126.0,,,,,,,
live_random_forest,live_chase_win_probability,0.8143,0.8106,0.8375,0.8238,0.9072,0.9086,0.001,0.7859,0.8633,9535.0,2544.0,2113.0,10887.0,,,,,,,
live_logistic_regression,live_chase_win_probability,0.8077,0.8095,0.8225,0.816,0.8955,0.8999,0.0015,0.7208,0.8092,9563.0,2516.0,2307.0,10693.0,,,,,,,
linear_regression,first_innings_score,,,,,,,,,,,,,,24.07,30.659,-0.0143,25.05,0.461,28.608,-0.2056
xgboost_regressor,first_innings_score,,,,,,,,,,,,,,24.109,30.832,-0.0258,24.208,0.535,34.058,-0.5943
random_forest_regressor,first_innings_score,,,,,,,,,,,,,,24.132,30.843,-0.0265,24.216,0.645,30.748,-0.3478
player_fantasy_points_rf,player_fantasy_points,,,,,,,,,,,,,,21.388,27.24,0.0162,,,,
player_runs_rf,player_runs,,,,,,,,,,,,,,11.731,17.693,0.2536,,,,
player_strike_rate_rf,player_strike_rate,,,,,,,,,,,,,,45.873,61.94,0.2756,,,,
player_wickets_rf,player_wickets,,,,,,,,,,,,,,0.456,0.736,0.2622,,,,
