match_id,season,date,venue,team,opposition,player,runs,balls,dismissals,boundaries,dot_balls,strike_rate,boundary_pct,dot_ball_pct,balls_bowled,runs_conceded,wickets,economy,fantasy_points,recent_runs,recent_wickets,recent_strike_rate,recent_fantasy_points,venue_runs_avg,opposition_runs_avg
548341,2012,2012-04-26,Subrata Roy Sahara Stadium,Deccan Chargers,Pune Warriors,A Ashish Reddy,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,32.0,2.0,8.0,54.0,0.0,0.0,0.0,0.0,0.0,0.0
548346,2012,2012-04-29,Wankhede Stadium,Deccan Chargers,Mumbai Indians,A Ashish Reddy,10.0,10.0,1.0,1.0,6.0,100.0,0.1,0.6,14.0,11.0,1.0,4.714285714285714,36.0,0.0,2.0,0.0,54.0,0.0,0.0
548348,2012,2012-05-01,Barabati Stadium,Deccan Chargers,Pune Warriors,A Ashish Reddy,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,32.0,1.0,10.105263157894738,29.0,5.0,1.5,50.0,45.0,0.0,0.0
548352,2012,2012-05-04,"MA Chidambaram Stadium, Chepauk",Deccan Chargers,Chennai Super Kings,A Ashish Reddy,3.0,3.0,1.0,0.0,1.0,100.0,0.0,0.3333333333333333,13.0,16.0,1.0,7.384615384615385,28.0,3.3333333333333335,1.3333333333333333,33.333333333333336,39.666666666666664,0.0,0.0
548356,2012,2012-05-06,M Chinnaswamy Stadium,Deccan Chargers,Royal Challengers Bengaluru,A Ashish Reddy,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,36.0,1.0,8.639999999999999,29.0,3.25,1.25,50.0,36.75,0.0,0.0
548359,2012,2012-05-08,"Rajiv Gandhi International Stadium, Uppal",Deccan Chargers,Punjab Kings,A Ashish Reddy,8.0,8.0,1.0,1.0,2.0,100.0,0.125,0.25,25.0,40.0,2.0,9.6,59.0,2.6,1.2,40.0,35.2,0.0,0.0
548329,2012,2012-05-10,"Rajiv Gandhi International Stadium, Uppal",Deccan Chargers,Delhi Capitals,A Ashish Reddy,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,29.0,0.0,14.5,4.0,4.2,1.2,60.0,36.2,8.0,0.0
548373,2012,2012-05-18,"Rajiv Gandhi International Stadium, Uppal",Deccan Chargers,Rajasthan Royals,A Ashish Reddy,10.0,4.0,0.0,2.0,1.0,250.0,0.5,0.25,12.0,17.0,0.0,8.5,16.0,2.2,1.0,40.0,29.8,4.0,0.0
548376,2012,2012-05-20,"Rajiv Gandhi International Stadium, Uppal",Deccan Chargers,Royal Challengers Bengaluru,A Ashish Reddy,4.0,5.0,1.0,0.0,1.0,80.0,0.0,0.2,25.0,25.0,3.0,6.0,79.0,4.2,0.8,90.0,27.2,6.0,0.0
598000,2013,2013-04-05,"Rajiv Gandhi International Stadium, Uppal",Sunrisers Hyderabad,Pune Warriors,A Ashish Reddy,7.0,4.0,0.0,1.0,0.0,175.0,0.25,0.0,12.0,21.0,1.0,10.5,37.0,4.4,1.2,86.0,37.4,5.5,0.0
598004,2013,2013-04-07,"Rajiv Gandhi International Stadium, Uppal",Sunrisers Hyderabad,Royal Challengers Bengaluru,A Ashish Reddy,14.0,12.0,1.0,1.0,4.0,116.66666666666667,0.08333333333333333,0.3333333333333333,6.0,7.0,1.0,7.0,40.0,5.8,1.2,121.0,39.0,5.8,2.0
598048,2013,2013-04-09,M Chinnaswamy Stadium,Sunrisers Hyderabad,Royal Challengers Bengaluru,A Ashish Reddy,3.0,4.0,1.0,0.0,1.0,75.0,0.0,0.25,6.0,13.0,0.0,13.0,3.0,7.0,1.0,124.33333333333333,35.2,0.0,6.0
598010,2013,2013-04-12,Feroz Shah Kotla,Sunrisers Hyderabad,Delhi Capitals,A Ashish Reddy,16.0,9.0,1.0,2.0,1.0,177.77777777777777,0.2222222222222222,0.1111111111111111,0.0,0.0,0.0,0.0,18.0,7.6,1.0,139.33333333333331,35.0,0.0,0.0
598013,2013,2013-04-14,Eden Gardens,Sunrisers Hyderabad,Kolkata Knight Riders,A Ashish Reddy,4.0,5.0,1.0,0.0,2.0,80.0,0.0,0.4,12.0,15.0,1.0,7.5,29.0,8.8,1.0,124.88888888888889,35.4,0.0,0.0
598018,2013,2013-04-17,Maharashtra Cricket Association Stadium,Sunrisers Hyderabad,Pune Warriors,A Ashish Reddy,19.0,15.0,0.0,1.0,2.0,126.66666666666667,0.06666666666666667,0.13333333333333333,0.0,0.0,0.0,0.0,24.0,8.8,0.6,124.88888888888889,25.4,0.0,2.3333333333333335
598021,2013,2013-04-19,"Rajiv Gandhi International Stadium, Uppal",Sunrisers Hyderabad,Punjab Kings,A Ashish Reddy,7.0,7.0,0.0,1.0,3.0,100.0,0.14285714285714285,0.42857142857142855,0.0,0.0,0.0,0.0,12.0,11.2,0.4,115.22222222222221,22.8,7.166666666666667,8.0
598030,2013,2013-04-25,"MA Chidambaram Stadium, Chepauk",Sunrisers Hyderabad,Chennai Super Kings,A Ashish Reddy,36.0,16.0,0.0,5.0,4.0,225.0,0.3125,0.25,5.0,15.0,0.0,18.0,45.0,9.8,0.2,111.88888888888889,17.2,3.0,3.0
