team,opponent,player,matches,batting_runs,balls_faced,dismissals,batting_average,strike_rate,bowling_matches,bowling_wickets,bowling_runs,balls_bowled,economy,matchup_key,total_impact
Chennai Super Kings,Deccan Chargers,SK Raina,10.0,310.0,229.0,10.0,31.0,135.37,6.0,7.0,72.0,74.0,5.84,Chennai Super Kings vs Deccan Chargers,485.0
Chennai Super Kings,Deccan Chargers,JA Morkel,9.0,138.0,95.0,3.0,46.0,145.26,9.0,12.0,254.0,190.0,8.02,Chennai Super Kings vs Deccan Chargers,438.0
Chennai Super Kings,Deccan Chargers,MS Dhoni,10.0,281.0,258.0,10.0,28.1,108.91,0.0,0.0,0.0,0.0,0.0,Chennai Super Kings vs Deccan Chargers,281.0
Chennai Super Kings,Deccan Chargers,SB Jakati,0.0,0.0,0.0,0.0,0.0,0.0,6.0,11.0,150.0,122.0,7.38,Chennai Super Kings vs Deccan Chargers,275.0
Chennai Super Kings,Deccan Chargers,DE Bollinger,1.0,2.0,3.0,0.0,2.0,66.67,4.0,9.0,92.0,83.0,6.65,Chennai Super Kings vs Deccan Chargers,227.0
Chennai Super Kings,Deccan Chargers,RA Jadeja,2.0,52.0,38.0,2.0,26.0,136.84,2.0,5.0,42.0,42.0,6.0,Chennai Super Kings vs Deccan Chargers,177.0
Chennai Super Kings,Deccan Chargers,M Muralitharan,1.0,1.0,2.0,1.0,1.0,50.0,6.0,6.0,123.0,147.0,5.02,Chennai Super Kings vs Deccan Chargers,151.0
Chennai Super Kings,Deccan Chargers,ML Hayden,5.0,136.0,104.0,5.0,27.2,130.77,0.0,0.0,0.0,0.0,0.0,Chennai Super Kings vs Deccan Chargers,136.0
Chennai Super Kings,Deccan Chargers,R Ashwin,3.0,11.0,12.0,2.0,5.5,91.67,6.0,5.0,111.0,136.0,4.9,Chennai Super Kings vs Deccan Chargers,136.0
Chennai Super Kings,Deccan Chargers,L Balaji,1.0,15.0,10.0,1.0,15.0,150.0,4.0,4.0,131.0,77.0,10.21,Chennai Super Kings vs Deccan Chargers,115.0
Chennai Super Kings,Deccan Chargers,DJ Bravo,2.0,55.0,23.0,0.0,55.0,239.13,2.0,2.0,45.0,31.0,8.71,Chennai Super Kings vs Deccan Chargers,105.0
Chennai Super Kings,Deccan Chargers,M Vijay,7.0,91.0,95.0,6.0,15.17,95.79,0.0,0.0,0.0,0.0,0.0,Chennai Super Kings vs Deccan Chargers,91.0
Chennai Super Kings,Deccan Chargers,S Badrinath,8.0,87.0,98.0,6.0,14.5,88.78,0.0,0.0,0.0,0.0,0.0,Chennai Super Kings vs Deccan Chargers,87.0
Chennai Super Kings,Deccan Chargers,F du Plessis,2.0,81.0,61.0,2.0,40.5,132.79,1.0,0.0,16.0,6.0,16.0,Chennai Super Kings vs Deccan Chargers,81.0
Chennai Super Kings,Deccan Chargers,MS Gony,1.0,15.0,6.0,0.0,15.0,250.0,3.0,2.0,58.0,49.0,7.1,Chennai Super Kings vs Deccan Chargers,65.0
Chennai Super Kings,Deccan Chargers,MEK Hussey,2.0,54.0,52.0,2.0,27.0,103.85,0.0,0.0,0.0,0.0,0.0,Chennai Super Kings vs Deccan Chargers,54.0
Chennai Super Kings,Deccan Chargers,JDP Oram,1.0,41.0,29.0,0.0,41.0,141.38,1.0,0.0,29.0,18.0,9.67,Chennai Super Kings vs Deccan Chargers,41.0
Chennai Super Kings,Deccan Chargers,S Anirudha,3.0,28.0,25.0,2.0,14.0,112.0,0.0,0.0,0.0,0.0,0.0,Chennai Super Kings vs Deccan Chargers,28.0
Chennai Super Kings,Deccan Chargers,S Tyagi,1.0,3.0,4.0,0.0,3.0,75.0,3.0,1.0,61.0,32.0,11.44,Chennai Super Kings vs Deccan Chargers,28.0
Chennai Super Kings,Deccan Chargers,SP Fleming,2.0,28.0,27.0,2.0,14.0,103.7,0.0,0.0,0.0,0.0,0.0,Chennai Super Kings vs Deccan Chargers,28.0
Chennai Super Kings,Deccan Chargers,BW Hilfenhaus,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,31.0,24.0,7.75,Chennai Super Kings vs Deccan Chargers,25.0
Chennai Super Kings,Deccan Chargers,M Ntini,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,62.0,49.0,7.59,Chennai Super Kings vs Deccan Chargers,25.0
Chennai Super Kings,Deccan Chargers,PA Patel,3.0,24.0,37.0,3.0,8.0,64.86,0.0,0.0,0.0,0.0,0.0,Chennai Super Kings vs Deccan Chargers,24.0
Chennai Super Kings,Deccan Chargers,JM Kemp,1.0,22.0,16.0,1.0,22.0,137.5,1.0,0.0,15.0,14.0,6.43,Chennai Super Kings vs Deccan Chargers,22.0
Chennai Super Kings,Deccan Chargers,Joginder Sharma,1.0,16.0,10.0,1.0,16.0,160.0,2.0,0.0,59.0,26.0,13.62,Chennai Super Kings vs Deccan Chargers,16.0
Chennai Super Kings,Deccan Chargers,T Thushara,1.0,8.0,8.0,1.0,8.0,100.0,1.0,0.0,27.0,26.0,6.23,Chennai Super Kings vs Deccan Chargers,8.0
Chennai Super Kings,Deccan Chargers,S Randiv,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,34.0,25.0,8.16,Chennai Super Kings vs Deccan Chargers,0.0
Chennai Super Kings,Delhi Capitals,RA Jadeja,14.0,250.0,177.0,8.0,31.25,141.24,19.0,20.0,475.0,371.0,7.68,Chennai Super Kings vs Delhi Capitals,750.0
Chennai Super Kings,Delhi Capitals,MS Dhoni,28.0,666.0,477.0,20.0,33.3,139.62,0.0,0.0,0.0,0.0,0.0,Chennai Super Kings vs Delhi Capitals,666.0
Chennai Super Kings,Delhi Capitals,DJ Bravo,10.0,85.0,72.0,5.0,17.0,118.06,17.0,20.0,433.0,340.0,7.64,Chennai Super Kings vs Delhi Capitals,585.0
