season,player,batting_runs,batting_balls,dismissals,batting_matches,boundaries,dot_balls,bowling_runs,balls_bowled,bowling_wickets,fantasy_points,batting_average,strike_rate,boundary_pct,dot_ball_pct,overs_bowled,economy,wicket_frequency,cluster_id,cluster_name
2008,SE Marsh,616.0,452.0,10.0,11,85.0,151.0,0.0,0.0,0.0,705.0,61.6,136.283,0.188,0.334,0.0,0.0,0.0,2,Power Hitters
2008,G Gambhir,534.0,394.0,14.0,14,76.0,112.0,0.0,0.0,0.0,614.0,38.143,135.533,0.193,0.284,0.0,0.0,0.0,2,Power Hitters
2008,ST Jayasuriya,514.0,333.0,13.0,14,88.0,127.0,163.0,126.0,4.0,710.0,39.538,154.354,0.264,0.381,21.0,7.762,0.032,1,Finishers / All-Rounders
2008,SR Watson,472.0,322.0,10.0,15,66.0,95.0,394.0,341.0,17.0,987.0,47.2,146.584,0.205,0.295,56.833333333333336,6.933,0.05,2,Power Hitters
2008,GC Smith,441.0,375.0,12.0,11,62.0,137.0,0.0,0.0,0.0,511.0,36.75,117.6,0.165,0.365,0.0,0.0,0.0,1,Finishers / All-Rounders
2008,AC Gilchrist,436.0,328.0,13.0,14,70.0,134.0,0.0,0.0,0.0,510.0,33.538,132.927,0.213,0.409,0.0,0.0,0.0,2,Power Hitters
2008,YK Pathan,435.0,253.0,12.0,16,68.0,75.0,231.0,168.0,8.0,719.0,36.25,171.937,0.269,0.296,28.0,8.25,0.048,2,Power Hitters
2008,SK Raina,421.0,304.0,9.0,14,53.0,84.0,30.0,19.0,1.0,519.0,46.778,138.487,0.174,0.276,3.1666666666666665,9.474,0.053,2,Power Hitters
2008,MS Dhoni,414.0,319.0,11.0,14,53.0,105.0,0.0,0.0,0.0,483.0,37.636,129.781,0.166,0.329,0.0,0.0,0.0,2,Power Hitters
2008,V Sehwag,406.0,229.0,12.0,14,67.0,58.0,134.0,67.0,3.0,560.0,33.833,177.293,0.293,0.253,11.166666666666666,12.0,0.045,2,Power Hitters
2008,RG Sharma,404.0,276.0,11.0,12,57.0,90.0,26.0,25.0,1.0,490.0,36.727,146.377,0.207,0.326,4.166666666666667,6.24,0.04,2,Power Hitters
