match_id,season,date,venue,team,opponent,winner,won,lost,toss_won,toss_decision,batting_first,chasing,runs,opponent_runs,run_margin,matchup_key
335982,2008,2008-04-18,M Chinnaswamy Stadium,Kolkata Knight Riders,Royal Challengers Bengaluru,Kolkata Knight Riders,1,0,0,field,1,0,222.0,82.0,140.0,Kolkata Knight Riders vs Royal Challengers Bengaluru
335982,2008,2008-04-18,M Chinnaswamy Stadium,Royal Challengers Bengaluru,Kolkata Knight Riders,Kolkata Knight Riders,0,1,1,field,0,1,82.0,222.0,-140.0,Royal Challengers Bengaluru vs Kolkata Knight Riders
335983,2008,2008-04-19,"Punjab Cricket Association Stadium, Mohali",Chennai Super Kings,Punjab Kings,Chennai Super Kings,1,0,1,bat,1,0,240.0,207.0,33.0,Chennai Super Kings vs Punjab Kings
335983,2008,2008-04-19,"Punjab Cricket Association Stadium, Mohali",Punjab Kings,Chennai Super Kings,Chennai Super Kings,0,1,0,bat,0,1,207.0,240.0,-33.0,Punjab Kings vs Chennai Super Kings
335984,2008,2008-04-19,Feroz Shah Kotla,Delhi Capitals,Rajasthan Royals,Delhi Capitals,1,0,0,bat,0,1,132.0,129.0,3.0,Delhi Capitals vs Rajasthan Royals
335984,2008,2008-04-19,Feroz Shah Kotla,Rajasthan Royals,Delhi Capitals,Delhi Capitals,0,1,1,bat,1,0,129.0,132.0,-3.0,Rajasthan Royals vs Delhi Capitals
335985,2008,2008-04-20,Wankhede Stadium,Mumbai Indians,Royal Challengers Bengaluru,Royal Challengers Bengaluru,0,1,1,bat,1,0,165.0,166.0,-1.0,Mumbai Indians vs Royal Challengers Bengaluru
335985,2008,2008-04-20,Wankhede Stadium,Royal Challengers Bengaluru,Mumbai Indians,Royal Challengers Bengaluru,1,0,0,bat,0,1,166.0,165.0,1.0,Royal Challengers Bengaluru vs Mumbai Indians
335986,2008,2008-04-20,Eden Gardens,Deccan Chargers,Kolkata Knight Riders,Kolkata Knight Riders,0,1,1,bat,1,0,110.0,112.0,-2.0,Deccan Chargers vs Kolkata Knight Riders
335986,2008,2008-04-20,Eden Gardens,Kolkata Knight Riders,Deccan Chargers,Kolkata Knight Riders,1,0,0,bat,0,1,112.0,110.0,2.0,Kolkata Knight Riders vs Deccan Chargers
335987,2008,2008-04-21,Sawai Mansingh Stadium,Punjab Kings,Rajasthan Royals,Rajasthan Royals,0,1,1,bat,1,0,166.0,168.0,-2.0,Punjab Kings vs Rajasthan Royals
335987,2008,2008-04-21,Sawai Mansingh Stadium,Rajasthan Royals,Punjab Kings,Rajasthan Royals,1,0,0,bat,0,1,168.0,166.0,2.0,Rajasthan Royals vs Punjab Kings
335988,2008,2008-04-22,"Rajiv Gandhi International Stadium, Uppal",Deccan Chargers,Delhi Capitals,Delhi Capitals,0,1,1,bat,1,0,142.0,143.0,-1.0,Deccan Chargers vs Delhi Capitals
335988,2008,2008-04-22,"Rajiv Gandhi International Stadium, Uppal",Delhi Capitals,Deccan Chargers,Delhi Capitals,1,0,0,bat,0,1,143.0,142.0,1.0,Delhi Capitals vs Deccan Chargers
335989,2008,2008-04-23,"MA Chidambaram Stadium, Chepauk",Chennai Super Kings,Mumbai Indians,Chennai Super Kings,1,0,0,field,1,0,208.0,202.0,6.0,Chennai Super Kings vs Mumbai Indians
335989,2008,2008-04-23,"MA Chidambaram Stadium, Chepauk",Mumbai Indians,Chennai Super Kings,Chennai Super Kings,0,1,1,field,0,1,202.0,208.0,-6.0,Mumbai Indians vs Chennai Super Kings
335990,2008,2008-04-24,"Rajiv Gandhi International Stadium, Uppal",Deccan Chargers,Rajasthan Royals,Rajasthan Royals,0,1,0,field,1,0,214.0,217.0,-3.0,Deccan Chargers vs Rajasthan Royals
335990,2008,2008-04-24,"Rajiv Gandhi International Stadium, Uppal",Rajasthan Royals,Deccan Chargers,Rajasthan Royals,1,0,1,field,0,1,217.0,214.0,3.0,Rajasthan Royals vs Deccan Chargers
335991,2008,2008-04-25,"Punjab Cricket Association Stadium, Mohali",Mumbai Indians,Punjab Kings,Punjab Kings,0,1,1,field,0,1,116.0,182.0,-66.0,Mumbai Indians vs Punjab Kings
335991,2008,2008-04-25,"Punjab Cricket Association Stadium, Mohali",Punjab Kings,Mumbai Indians,Punjab Kings,1,0,0,field,1,0,182.0,116.0,66.0,Punjab Kings vs Mumbai Indians
335992,2008,2008-04-26,M Chinnaswamy Stadium,Rajasthan Royals,Royal Challengers Bengaluru,Rajasthan Royals,1,0,1,field,0,1,138.0,135.0,3.0,Rajasthan Royals vs Royal Challengers Bengaluru
335992,2008,2008-04-26,M Chinnaswamy Stadium,Royal Challengers Bengaluru,Rajasthan Royals,Rajasthan Royals,0,1,0,field,1,0,135.0,138.0,-3.0,Royal Challengers Bengaluru vs Rajasthan Royals
335993,2008,2008-04-26,"MA Chidambaram Stadium, Chepauk",Chennai Super Kings,Kolkata Knight Riders,Chennai Super Kings,1,0,0,bat,0,1,152.0,147.0,5.0,Chennai Super Kings vs Kolkata Knight Riders
335993,2008,2008-04-26,"MA Chidambaram Stadium, Chepauk",Kolkata Knight Riders,Chennai Super Kings,Chennai Super Kings,0,1,1,bat,1,0,147.0,152.0,-5.0,Kolkata Knight Riders vs Chennai Super Kings
335994,2008,2008-04-27,Dr DY Patil Sports Academy,Deccan Chargers,Mumbai Indians,Deccan Chargers,1,0,1,field,0,1,155.0,154.0,1.0,Deccan Chargers vs Mumbai Indians
335994,2008,2008-04-27,Dr DY Patil Sports Academy,Mumbai Indians,Deccan Chargers,Deccan Chargers,0,1,0,field,1,0,154.0,155.0,-1.0,Mumbai Indians vs Deccan Chargers
335995,2008,2008-04-27,"Punjab Cricket Association Stadium, Mohali",Delhi Capitals,Punjab Kings,Punjab Kings,0,1,1,bat,1,0,158.0,162.0,-4.0,Delhi Capitals vs Punjab Kings
335995,2008,2008-04-27,"Punjab Cricket Association Stadium, Mohali",Punjab Kings,Delhi Capitals,Punjab Kings,1,0,0,bat,0,1,162.0,158.0,4.0,Punjab Kings vs Delhi Capitals
335996,2008,2008-04-28,M Chinnaswamy Stadium,Chennai Super Kings,Royal Challengers Bengaluru,Chennai Super Kings,1,0,1,bat,1,0,178.0,165.0,13.0,Chennai Super Kings vs Royal Challengers Bengaluru
335996,2008,2008-04-28,M Chinnaswamy Stadium,Royal Challengers Bengaluru,Chennai Super Kings,Chennai Super Kings,0,1,0,bat,0,1,165.0,178.0,-13.0,Royal Challengers Bengaluru vs Chennai Super Kings
335997,2008,2008-04-29,Eden Gardens,Kolkata Knight Riders,Mumbai Indians,Mumbai Indians,0,1,1,bat,1,0,137.0,138.0,-1.0,Kolkata Knight Riders vs Mumbai Indians
335997,2008,2008-04-29,Eden Gardens,Mumbai Indians,Kolkata Knight Riders,Mumbai Indians,1,0,0,bat,0,1,138.0,137.0,1.0,Mumbai Indians vs Kolkata Knight Riders
335998,2008,2008-04-30,Feroz Shah Kotla,Delhi Capitals,Royal Challengers Bengaluru,Delhi Capitals,1,0,0,field,1,0,191.0,181.0,10.0,Delhi Capitals vs Royal Challengers Bengaluru
