venue,matches,avg_first_innings_score,avg_second_innings_score,chase_win_rate,defend_win_rate,toss_win_match_win_rate,field_first_toss_success_rate,pace_spin_note
Eden Gardens,77,160.18,147.06,61.04,38.96,55.84,40.26,Requires verified bowling-style metadata in players.csv
Wankhede Stadium,73,166.03,154.38,50.68,49.32,50.68,35.62,Requires verified bowling-style metadata in players.csv
M Chinnaswamy Stadium,65,168.06,145.52,56.92,40.0,53.85,49.23,Requires verified bowling-style metadata in players.csv
Feroz Shah Kotla,60,161.63,147.85,53.33,45.0,51.67,31.67,Requires verified bowling-style metadata in players.csv
"Rajiv Gandhi International Stadium, Uppal",49,156.14,146.98,61.22,38.78,34.69,24.49,Requires verified bowling-style metadata in players.csv
"MA Chidambaram Stadium, Chepauk",48,166.02,151.85,35.42,64.58,52.08,8.33,Requires verified bowling-style metadata in players.csv
Sawai Mansingh Stadium,47,157.68,145.81,68.09,31.91,53.19,40.43,Requires verified bowling-style metadata in players.csv
Dubai International Cricket Stadium,46,163.76,149.09,50.0,50.0,39.13,23.91,Requires verified bowling-style metadata in players.csv
"Wankhede Stadium, Mumbai",45,177.11,169.27,60.0,40.0,55.56,48.89,Requires verified bowling-style metadata in players.csv
"Punjab Cricket Association Stadium, Mohali",35,163.29,150.63,57.14,42.86,45.71,31.43,Requires verified bowling-style metadata in players.csv
Sheikh Zayed Stadium,29,158.86,145.62,55.17,44.83,51.72,27.59,Requires verified bowling-style metadata in players.csv
"MA Chidambaram Stadium, Chepauk, Chennai",28,164.54,151.57,50.0,50.0,42.86,25.0,Requires verified bowling-style metadata in players.csv
Sharjah Cricket Stadium,28,159.04,147.5,64.29,35.71,57.14,46.43,Requires verified bowling-style metadata in players.csv
"Narendra Modi Stadium, Ahmedabad",24,175.75,163.83,62.5,37.5,50.0,45.83,Requires verified bowling-style metadata in players.csv
Maharashtra Cricket Association Stadium,22,166.41,152.09,63.64,36.36,63.64,59.09,Requires verified bowling-style metadata in players.csv
"Dr DY Patil Sports Academy, Mumbai",20,170.7,157.95,50.0,50.0,55.0,45.0,Requires verified bowling-style metadata in players.csv
Dr DY Patil Sports Academy,17,146.65,136.29,58.82,41.18,52.94,35.29,Requires verified bowling-style metadata in players.csv
"Brabourne Stadium, Mumbai",17,177.41,165.18,52.94,47.06,47.06,41.18,Requires verified bowling-style metadata in players.csv
Subrata Roy Sahara Stadium,16,149.44,133.56,37.5,62.5,56.25,0.0,Requires verified bowling-style metadata in players.csv
"Arun Jaitley Stadium, Delhi",16,199.06,181.62,43.75,56.25,43.75,31.25,Requires verified bowling-style metadata in players.csv
"Eden Gardens, Kolkata",16,195.62,184.69,50.0,50.0,37.5,37.5,Requires verified bowling-style metadata in players.csv
Rajiv Gandhi International Stadium,15,162.6,146.13,46.67,53.33,26.67,20.0,Requires verified bowling-style metadata in players.csv
M.Chinnaswamy Stadium,15,173.93,167.87,46.67,46.67,53.33,46.67,Requires verified bowling-style metadata in players.csv
Kingsmead,15,152.0,138.2,46.67,53.33,60.0,20.0,Requires verified bowling-style metadata in players.csv
Arun Jaitley Stadium,14,168.29,155.0,50.0,50.0,50.0,28.57,Requires verified bowling-style metadata in players.csv
"M Chinnaswamy Stadium, Bengaluru",14,196.21,183.93,42.86,57.14,42.86,42.86,Requires verified bowling-style metadata in players.csv
"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",14,165.43,152.15,42.86,50.0,57.14,28.57,Requires verified bowling-style metadata in players.csv
"Rajiv Gandhi International Stadium, Uppal, Hyderabad",13,188.38,176.46,46.15,53.85,53.85,23.08,Requires verified bowling-style metadata in players.csv
"Maharashtra Cricket Association Stadium, Pune",13,171.46,144.54,23.08,76.92,38.46,23.08,Requires verified bowling-style metadata in players.csv
Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,13,157.46,130.69,53.85,46.15,46.15,30.77,Requires verified bowling-style metadata in players.csv
"Sardar Patel Stadium, Motera",12,163.17,149.0,50.0,50.0,50.0,25.0,Requires verified bowling-style metadata in players.csv
SuperSport Park,12,154.83,149.58,66.67,33.33,66.67,41.67,Requires verified bowling-style metadata in players.csv
"Punjab Cricket Association IS Bindra Stadium, Mohali",11,164.09,158.18,54.55,45.45,36.36,36.36,Requires verified bowling-style metadata in players.csv
Saurashtra Cricket Association Stadium,10,168.9,162.7,70.0,30.0,40.0,40.0,Requires verified bowling-style metadata in players.csv
Punjab Cricket Association IS Bindra Stadium,10,175.6,172.0,60.0,40.0,70.0,60.0,Requires verified bowling-style metadata in players.csv
"Sawai Mansingh Stadium, Jaipur",10,179.5,162.6,50.0,50.0,50.0,20.0,Requires verified bowling-style metadata in players.csv
Brabourne Stadium,10,180.4,167.7,40.0,60.0,60.0,20.0,Requires verified bowling-style metadata in players.csv
